0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000111e-01 3.599086874210245899e-03 4.633362933709228235e-03 0.000000000000000000e+00 2.709549155262095180e-02 1.186820147235371874e-02 0.000000000000000000e+00
4.000000000000000222e-01 1.677632717758687636e-02 1.397191277272982236e-02 0.000000000000000000e+00 3.213469954910277981e-02 1.425778696399644836e-02 0.000000000000000000e+00
5.999999999999999778e-01 2.681266758134015840e-02 1.156353135182107417e-02 0.000000000000000000e+00 2.324523527204977111e-02 1.175408169073842435e-02 0.000000000000000000e+00
8.000000000000000444e-01 3.061333735044083348e-02 1.279214381696929317e-02 0.000000000000000000e+00 1.279855363823504018e-02 1.171980883495627769e-02 0.000000000000000000e+00
1.000000000000000000e+00 3.166422173260216577e-02 1.176920262666466405e-02 0.000000000000000000e+00 1.101136526764768739e-02 9.521169774189489760e-03 0.000000000000000000e+00
1.199999999999999956e+00 2.807116170219530957e-02 1.052319905328768374e-02 0.000000000000000000e+00 7.330717570741107636e-03 8.962917551783014178e-03 0.000000000000000000e+00
1.400000000000000133e+00 2.556033602118455358e-02 1.348335530307865834e-02 0.000000000000000000e+00 9.016210984831669537e-03 8.631205017980309382e-03 0.000000000000000000e+00
1.600000000000000089e+00 2.117849360154729771e-02 1.192926112824601800e-02 0.000000000000000000e+00 1.133992042090666702e-02 8.205068846543348698e-03 0.000000000000000000e+00
1.800000000000000044e+00 2.149691063571786132e-02 1.169017906515540557e-02 0.000000000000000000e+00 5.976964922991830943e-03 5.884423705735132397e-03 0.000000000000000000e+00
2.000000000000000000e+00 2.307655654741275555e-02 1.427531071206622829e-02 0.000000000000000000e+00 1.441415590650151979e-03 1.404081939920865480e-03 0.000000000000000000e+00
2.200000000000000178e+00 2.369998355308977622e-02 1.049681046561682686e-02 0.000000000000000000e+00 1.106520531472116693e-03 1.379811365112964270e-03 0.000000000000000000e+00
2.399999999999999911e+00 1.601896365288638796e-02 9.437910209286129101e-03 0.000000000000000000e+00 1.434313705729438641e-03 1.136295992179357957e-02 0.000000000000000000e+00
2.600000000000000089e+00 1.357134045642868249e-02 9.165486560318869894e-03 0.000000000000000000e+00 2.657060295829411032e-03 1.255955693274980398e-02 0.000000000000000000e+00
2.800000000000000266e+00 9.142950203586830069e-03 8.769956058610629129e-03 0.000000000000000000e+00 1.180380663549931812e-02 2.117741996177821898e-02 0.000000000000000000e+00
3.000000000000000000e+00 7.196910089067903166e-03 8.894379368069646810e-03 0.000000000000000000e+00 1.314620078479326708e-02 1.754464164519027938e-02 0.000000000000000000e+00
3.200000000000000178e+00 7.363784376131924173e-03 7.415861392205500870e-03 0.000000000000000000e+00 2.288412687721096128e-02 1.764561937222734744e-02 0.000000000000000000e+00
3.399999999999999911e+00 8.549183853107631542e-03 8.718681584275224383e-03 0.000000000000000000e+00 2.290698783214226847e-02 1.894969933579421922e-02 0.000000000000000000e+00
3.600000000000000089e+00 1.136719927239085264e-02 8.897327878361751402e-03 0.000000000000000000e+00 1.997021075778013591e-02 1.899859491294874150e-02 0.000000000000000000e+00
3.800000000000000266e+00 1.340631474375834215e-02 9.411941618543190682e-03 0.000000000000000000e+00 2.320435694654339465e-02 3.238932793053548448e-02 0.000000000000000000e+00
4.000000000000000000e+00 1.446615322003164117e-02 9.247467479249184275e-03 0.000000000000000000e+00 3.823498987956427952e-02 3.099948186141520887e-02 0.000000000000000000e+00
