0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000111e-01 8.270621763818852487e-03 8.986957436789667214e-03 0.000000000000000000e+00 3.111657319000670982e-02 1.607168243861121018e-02 0.000000000000000000e+00
4.000000000000000222e-01 5.780731823358972038e-03 1.642117466629822858e-02 0.000000000000000000e+00 5.729784205995772095e-02 2.230768989610322495e-02 0.000000000000000000e+00
5.999999999999999778e-01 2.203424238591167317e-02 2.110454025178607265e-02 0.000000000000000000e+00 7.601512129631150805e-02 1.790970047700829806e-02 1.000000000000000000e+00
8.000000000000000444e-01 4.888147498894401116e-02 2.268674707851116995e-02 0.000000000000000000e+00 7.980865507430967565e-02 1.883300259649948322e-02 1.000000000000000000e+00
1.000000000000000000e+00 9.351253335597661809e-02 4.214413728279037263e-02 0.000000000000000000e+00 8.633866931737835260e-02 1.750637216157021822e-02 1.000000000000000000e+00
1.199999999999999956e+00 1.610507260421237541e-01 4.056743744164430926e-02 1.000000000000000000e+00 8.802772951915441291e-02 2.658502797950928684e-02 1.000000000000000000e+00
1.400000000000000133e+00 2.140832377496532379e-01 4.250378224196474375e-02 1.000000000000000000e+00 9.078321097745840895e-02 2.635278570857823785e-02 1.000000000000000000e+00
1.600000000000000089e+00 2.086584996163596273e-01 4.548421358618511684e-02 1.000000000000000000e+00 1.070521381908609848e-01 3.339472136488380594e-02 0.000000000000000000e+00
1.800000000000000044e+00 2.050318431744279912e-01 4.600829475928985834e-02 1.000000000000000000e+00 1.275492328677967080e-01 2.901692340512349727e-02 1.000000000000000000e+00
2.000000000000000000e+00 2.417276030064118286e-01 4.430149766734597233e-02 1.000000000000000000e+00 1.287872502167958788e-01 3.440561022818173359e-02 1.000000000000000000e+00
2.200000000000000178e+00 2.737491629028765416e-01 4.011885533058384690e-02 1.000000000000000000e+00 1.383383895774459582e-01 3.529055948308344043e-02 1.000000000000000000e+00
2.399999999999999911e+00 2.780672251154283070e-01 3.413783281209417653e-02 1.000000000000000000e+00 1.430145268137104353e-01 3.566796565536952540e-02 1.000000000000000000e+00
